EnrollmentID,CourseID,StudentID,Drop,DropSemester,DropDate
33,148,25,FALSE,,
34,114,25,FALSE,,
145,126,25,FALSE,,
276,152,25,FALSE,,
366,157,25,FALSE,,
395,134,25,TRUE,,
862,95,25,FALSE,,
863,42,25,FALSE,,
1314,54,25,FALSE,,
1622,53,25,FALSE,,
1660,184,25,TRUE,,
1661,70,25,FALSE,,
2301,85,25,TRUE,2,5/31/17
2321,86,25,TRUE,2,5/31/17
35,225,26,TRUE,,
36,148,26,FALSE,,
147,23,26,FALSE,,
148,14,26,FALSE,,
367,154,26,FALSE,,
396,26,26,FALSE,,
864,41,26,FALSE,,
865,42,26,FALSE,,
37,5,27,FALSE,,
38,6,27,FALSE,,
149,13,27,FALSE,,
150,14,27,FALSE,,
368,25,27,FALSE,,
397,26,27,FALSE,,
866,41,27,FALSE,,
867,42,27,FALSE,,
1624,53,27,FALSE,,
1625,54,27,FALSE,,
1662,69,27,FALSE,,
1663,70,27,FALSE,,
2313,85,27,FALSE,,
2319,86,27,FALSE,,
2746,103,27,FALSE,,
2764,104,27,FALSE,,
3541,124,27,TRUE,1,3/6/19
3542,125,27,TRUE,1,3/6/19
39,5,28,FALSE,,
40,6,28,FALSE,,
151,13,28,FALSE,,
152,14,28,FALSE,,
370,25,28,FALSE,,
399,26,28,FALSE,,
868,41,28,FALSE,,
869,42,28,FALSE,,
1626,53,28,FALSE,,
1627,54,28,FALSE,,
1664,69,28,FALSE,,
1665,70,28,FALSE,,
41,6,29,FALSE,,
42,5,29,FALSE,,
153,13,29,FALSE,,
154,14,29,FALSE,,
371,25,29,TRUE,1,12/18/12
400,26,29,TRUE,1,12/18/12
43,5,30,FALSE,,
44,6,30,FALSE,,
155,13,30,FALSE,,
156,14,30,FALSE,,
373,25,30,FALSE,,
402,26,30,FALSE,,
870,41,30,FALSE,,
871,42,30,FALSE,,
1628,53,30,FALSE,,
1629,54,30,FALSE,,
1666,69,30,FALSE,,
1667,70,30,FALSE,,
2307,85,30,FALSE,,
2318,86,30,FALSE,,
45,5,31,FALSE,,
46,6,31,FALSE,,
157,13,31,FALSE,,
158,14,31,FALSE,,
424,25,31,FALSE,,
425,26,31,FALSE,,
872,41,31,FALSE,,
873,42,31,FALSE,,
1630,53,31,FALSE,,
1631,54,31,FALSE,,
1668,69,31,FALSE,,
1669,70,31,FALSE,,
2304,85,31,FALSE,,
2320,86,31,FALSE,,
2739,103,31,FALSE,,
2757,104,31,FALSE,,
3545,124,31,FALSE,,
3546,125,31,FALSE,,
4078,146,31,FALSE,,
4086,147,31,FALSE,,
49,5,32,FALSE,,
50,6,32,FALSE,,
159,13,32,FALSE,,
160,14,32,FALSE,,
375,25,32,FALSE,,
404,26,32,FALSE,,
874,41,32,FALSE,,
875,42,32,FALSE,,
51,5,33,FALSE,,
52,6,33,FALSE,,
161,13,33,FALSE,,
162,14,33,FALSE,,
377,25,33,FALSE,,
406,26,33,FALSE,,
876,41,33,TRUE,2,7/7/14
877,42,33,TRUE,2,7/7/14
53,5,34,FALSE,,
54,6,34,FALSE,,
163,13,34,FALSE,,
164,14,34,FALSE,,
378,25,34,FALSE,,
407,26,34,FALSE,,
878,41,34,FALSE,,
879,42,34,FALSE,,
1304,53,34,FALSE,,
1319,54,34,FALSE,,
1670,69,34,FALSE,,
1671,70,34,FALSE,,
2302,85,34,FALSE,,
2322,86,34,FALSE,,
2737,103,34,FALSE,,
2755,104,34,FALSE,,
55,5,35,FALSE,,
56,6,35,FALSE,,
165,13,35,FALSE,,
166,14,35,FALSE,,
379,25,35,FALSE,,
408,26,35,FALSE,,
880,41,35,FALSE,,
881,42,35,FALSE,,
1634,53,35,FALSE,,
1635,54,35,FALSE,,
1672,69,35,FALSE,,
1673,70,35,FALSE,,
2306,85,35,FALSE,,
2323,86,35,FALSE,,
2751,103,35,TRUE,1,4/30/18
2769,104,35,TRUE,1,4/30/18
57,5,36,FALSE,,
58,6,36,FALSE,,
167,13,36,FALSE,,
168,14,36,FALSE,,
381,25,36,FALSE,,
410,26,36,FALSE,,
882,41,36,FALSE,,
883,42,36,FALSE,,
1636,53,36,FALSE,,
1637,54,36,FALSE,,
1674,69,36,FALSE,,
1675,70,36,FALSE,,
2299,85,36,FALSE,,
2324,86,36,FALSE,,
2735,103,36,TRUE,1,4/30/18
2753,104,36,TRUE,1,4/30/18
59,5,37,FALSE,,
60,6,37,FALSE,,
169,13,37,FALSE,,
170,14,37,FALSE,,
383,25,37,FALSE,,
412,26,37,FALSE,,
884,41,37,FALSE,,
885,42,37,FALSE,,
1638,53,37,FALSE,,
1676,69,37,FALSE,,
1677,70,37,FALSE,,
1760,54,37,FALSE,,
2300,85,37,FALSE,,
2335,86,37,FALSE,,
2736,103,37,FALSE,,
2754,104,37,FALSE,,
63,5,38,FALSE,,
64,6,38,FALSE,,
171,13,38,FALSE,,
172,14,38,FALSE,,
384,25,38,FALSE,,
413,26,38,FALSE,,
71,5,39,FALSE,,
72,6,39,FALSE,,
173,13,39,TRUE,2,3/15/12
174,14,39,TRUE,2,3/15/12
67,5,40,FALSE,,
68,6,40,FALSE,,
175,13,40,FALSE,,
176,14,40,FALSE,,
386,25,40,FALSE,,
415,26,40,FALSE,,
888,41,40,FALSE,,
889,42,40,FALSE,,
1308,53,40,FALSE,,
1323,54,40,FALSE,,
1678,69,40,FALSE,,
1679,70,40,FALSE,,
2308,85,40,TRUE,2,5/31/17
2325,86,40,TRUE,2,5/31/17
143,5,41,TRUE,2,3/15/11
144,6,41,TRUE,2,3/15/11
65,5,42,FALSE,,
66,6,42,FALSE,,
177,13,42,FALSE,,
178,14,42,FALSE,,
385,25,42,FALSE,,
414,26,42,FALSE,,
890,41,42,FALSE,,
891,42,42,FALSE,,
1309,53,42,FALSE,,
1324,54,42,FALSE,,
1680,69,42,FALSE,,
1681,70,42,FALSE,,
2303,85,42,FALSE,,
2327,86,42,FALSE,,
2738,103,42,TRUE,2,6/21/18
2756,104,42,TRUE,2,6/21/18
69,5,43,FALSE,,
70,6,43,FALSE,,
179,13,43,FALSE,,
180,14,43,FALSE,,
387,25,43,FALSE,,
416,26,43,FALSE,,
892,41,43,FALSE,,
893,42,43,FALSE,,
1310,53,43,FALSE,,
1325,54,43,FALSE,,
1682,69,43,FALSE,,
1683,70,43,FALSE,,
2305,85,43,FALSE,,
2328,86,43,FALSE,,
2740,103,43,TRUE,1,12/5/17
2758,104,43,TRUE,1,12/5/17
75,5,44,FALSE,,
76,6,44,FALSE,,
181,13,44,FALSE,,
182,14,44,FALSE,,
391,25,44,FALSE,,
420,26,44,FALSE,,
